iter	Passed	Remaining
0	20	10298
1	40	10093
2	62	10323
3	82	10217
4	104	10348
5	128	10605
6	150	10624
7	168	10363
8	188	10274
9	209	10249
10	230	10250
11	252	10275
12	277	10399
13	298	10375
14	319	10315
15	340	10300
16	361	10282
17	382	10245
18	424	10746
19	449	10783
20	481	10979
21	508	11048
22	534	11085
23	613	12166
24	650	12362
25	681	12426
26	720	12624
27	751	12667
28	780	12677
29	813	12750
30	852	12902
31	892	13046
32	923	13061
33	953	13066
34	1003	13327
35	1046	13485
36	1093	13682
37	1145	13931
38	1194	14117
39	1228	14128
40	1260	14111
41	1295	14122
42	1326	14099
43	1354	14036
44	1393	14092
45	1455	14365
46	1492	14386
47	1529	14401
48	1592	14655
49	1646	14814
50	1676	14761
51	1708	14721
52	1744	14711
53	1775	14664
54	1811	14655
55	1836	14560
56	1859	14454
57	1886	14377
58	1917	14333
59	1945	14268
60	1979	14246
61	2012	14218
62	2047	14200
63	2077	14151
64	2102	14073
65	2129	13999
66	2161	13970
67	2189	13907
68	2214	13831
69	2237	13742
70	2259	13651
71	2283	13574
72	2310	13513
73	2332	13429
74	2356	13352
75	2378	13267
76	2405	13213
77	2429	13142
78	2454	13082
79	2486	13054
80	2510	12986
81	2540	12952
82	2563	12881
83	2589	12824
84	2614	12762
85	2644	12730
86	2669	12672
87	2695	12619
88	2720	12563
89	2740	12486
90	2766	12433
91	2790	12376
92	2814	12317
93	2839	12264
94	2865	12214
95	2890	12165
96	2916	12117
97	2941	12067
98	2964	12009
99	2992	11968
100	3030	11973
101	3055	11922
102	3081	11878
103	3107	11833
104	3129	11774
105	3156	11734
106	3180	11680
107	3204	11630
108	3228	11581
109	3250	11525
110	3275	11478
111	3297	11425
112	3322	11379
113	3347	11335
114	3373	11293
115	3409	11286
116	3434	11244
117	3459	11199
118	3514	11252
119	3549	11239
120	3582	11221
121	3615	11202
122	3645	11172
123	3674	11141
124	3701	11105
125	3724	11056
126	3747	11005
127	3768	10951
128	3789	10898
129	3809	10842
130	3831	10793
131	3861	10765
132	3882	10712
133	3902	10658
134	3922	10606
135	3944	10556
136	3964	10505
137	3985	10455
138	4006	10404
139	4028	10358
140	4050	10312
141	4073	10269
142	4096	10227
143	4117	10179
144	4139	10133
145	4161	10090
146	4182	10043
147	4204	9999
148	4225	9953
149	4247	9910
150	4268	9865
151	4288	9819
152	4308	9771
153	4330	9729
154	4350	9684
155	4371	9639
156	4392	9597
157	4414	9555
158	4436	9514
159	4458	9473
160	4483	9439
161	4504	9398
162	4524	9355
163	4546	9315
164	4567	9273
165	4587	9230
166	4609	9191
167	4630	9149
168	4700	9206
169	4744	9208
170	4771	9180
171	4795	9144
172	4817	9105
173	4839	9066
174	4860	9027
175	4884	8992
176	4908	8958
177	4932	8922
178	4954	8884
179	4978	8851
180	5000	8813
181	5021	8774
182	5043	8736
183	5064	8696
184	5086	8659
185	5137	8673
186	5161	8639
187	5183	8602
188	5205	8565
189	5227	8528
190	5248	8490
191	5270	8454
192	5295	8422
193	5317	8387
194	5338	8350
195	5360	8314
196	5380	8276
197	5404	8242
198	5426	8208
199	5448	8173
200	5471	8138
201	5492	8103
202	5514	8068
203	5536	8033
204	5558	7998
205	5580	7963
206	5600	7927
207	5621	7891
208	5642	7856
209	5663	7821
210	5684	7786
211	5709	7755
212	5732	7724
213	5753	7689
214	5775	7655
215	5795	7620
216	5815	7584
217	5836	7549
218	5858	7516
219	5878	7481
220	5898	7447
221	5919	7412
222	5940	7379
223	5979	7367
224	6025	7364
225	6055	7341
226	6083	7316
227	6115	7295
228	6150	7278
229	6182	7257
230	6210	7232
231	6242	7211
232	6275	7191
233	6304	7166
234	6332	7141
235	6362	7117
236	6389	7090
237	6423	7071
238	6453	7047
239	6486	7027
240	6517	7004
241	6548	6981
242	6586	6965
243	6623	6948
244	6668	6940
245	6702	6920
246	6738	6901
247	6774	6883
248	6802	6857
249	6839	6839
250	6873	6818
251	6906	6796
252	6945	6780
253	6986	6766
254	7019	6744
