iter	Quantile:alpha=0.65
0	0.4534483482
1	0.4485181606
2	0.4436217212
3	0.4388640193
4	0.4341429548
5	0.429456491
6	0.4249155693
7	0.4204762878
8	0.4160102968
9	0.4115695671
10	0.4072758505
11	0.4030837443
12	0.3989322566
13	0.3947491761
14	0.3906606624
15	0.3867082363
16	0.3828018176
17	0.3791376903
18	0.3753802288
19	0.3717303327
20	0.3681051444
21	0.3645474754
22	0.3610960948
23	0.3576875425
24	0.3543003791
25	0.3509796253
26	0.3478656043
27	0.3446053691
28	0.3414140064
29	0.3383844252
30	0.3354051995
31	0.332483554
32	0.3296264404
33	0.3267649667
34	0.3240649485
35	0.321363843
36	0.3186908078
37	0.3160605278
38	0.3134438237
39	0.310917866
40	0.3084762647
41	0.3060645234
42	0.303642044
43	0.3012979827
44	0.2990141403
45	0.2967230928
46	0.2945036272
47	0.2923339057
48	0.2901566158
49	0.2880581992
50	0.2860070264
51	0.2840114577
52	0.2820375911
53	0.2801222809
54	0.2782576476
55	0.2763799454
56	0.2745454555
57	0.2727461914
58	0.2709607088
59	0.2692347821
60	0.2675781886
61	0.2659466889
62	0.2643360448
63	0.2627525898
64	0.2611910319
65	0.2596851302
66	0.2581204986
67	0.2565993657
68	0.2550951089
69	0.2536533162
70	0.2522874422
71	0.2508927165
72	0.2495202055
73	0.248181121
74	0.246884412
75	0.245690524
76	0.2444088026
77	0.2432459841
78	0.2420853776
79	0.2408903492
80	0.2397532673
81	0.2386126261
82	0.2375249916
83	0.2364069277
84	0.2353032407
85	0.2342891011
86	0.2332193314
87	0.2322181493
88	0.2312298623
89	0.2302806074
90	0.2293567001
91	0.2284487385
92	0.2275808218
93	0.2266908179
94	0.2257649752
95	0.224921064
96	0.224036666
97	0.2232541608
98	0.2224076113
99	0.2215987462
100	0.2208414274
101	0.2200759135
102	0.2193157008
103	0.2185423042
104	0.2178433128
105	0.2171648984
106	0.2164347876
107	0.2157851637
108	0.2151163143
109	0.2144837814
110	0.2138330089
111	0.2131939816
112	0.2125494783
113	0.2119134206
114	0.2113304282
115	0.2107343217
116	0.2101298277
117	0.2095422177
118	0.2090119309
119	0.2084556461
120	0.20793955
121	0.2074314782
122	0.2069113692
123	0.2064132609
124	0.2059504858
125	0.2055228422
126	0.2050273802
127	0.2045808124
128	0.2041095801
129	0.2036464752
130	0.2031959282
131	0.2027903888
132	0.2023786682
133	0.2019841205
134	0.2015730851
135	0.2011976675
136	0.2007905332
137	0.2003975465
138	0.2000130895
139	0.1996622953
140	0.199283513
141	0.1989086037
142	0.1985481634
143	0.1982058412
144	0.197853961
145	0.1975326881
146	0.1972076123
147	0.1968907179
148	0.1965288219
149	0.1962055362
150	0.1959010565
151	0.195592448
152	0.1953075445
153	0.1950208713
154	0.1947364136
155	0.1944703768
156	0.1941716813
