iter	Passed	Remaining
0	381	762155
1	739	739021
2	1073	714911
3	1404	700787
4	1706	681052
5	2062	685282
6	2400	683334
7	2793	695667
8	3079	681304
9	3369	670482
10	3699	668908
11	4013	664845
12	4303	657709
13	4628	656521
14	4954	655670
15	5282	655032
16	5573	650144
17	5899	649644
18	6168	643136
19	6368	630488
20	6548	617157
21	6787	610232
22	6978	599827
23	7166	590006
24	7368	582079
25	7537	572299
26	7729	564812
27	7931	558574
28	8190	556669
29	8365	549361
30	8509	540491
31	8728	536810
32	8923	531886
33	9118	527271
34	9300	522180
35	9501	518360
36	9709	515129
37	9871	509658
38	10066	506180
39	10258	502665
40	10454	499512
41	10669	497419
42	10877	495036
43	11052	491344
44	11245	488535
45	11412	484774
46	11575	481009
47	11729	477018
48	11888	473357
49	12060	470360
50	12223	467139
51	12362	463117
52	12506	459428
53	12652	455955
54	12800	452663
55	12942	449305
56	13113	447011
57	13264	444120
58	13431	441882
59	13597	439663
60	13763	437493
61	13907	434706
62	14070	432599
63	14251	431099
64	14392	428460
65	14549	426357
66	14698	424066
67	14854	422044
68	15031	420654
69	15202	419152
70	15343	416873
71	15493	414875
72	15636	412753
73	15803	411305
74	15926	408779
75	16091	407367
76	16250	405833
77	16413	404442
78	16616	404043
79	16794	403074
80	16973	402120
81	17146	401050
82	17308	399754
83	17477	398648
84	17704	398882
85	17878	397901
86	18070	397342
87	18246	396444
88	18416	395430
89	18577	394257
90	18736	393047
91	18911	392204
92	19096	391578
93	19248	390298
94	19431	389660
95	19591	388557
96	19746	387397
97	19923	386682
98	20099	385949
99	20267	385090
100	20448	384472
101	20643	384129
102	20815	383369
103	20989	382649
104	21161	381921
105	21315	380857
106	21445	379396
107	21578	378016
108	21717	376762
109	21847	375378
110	21980	374071
111	22134	373132
112	22290	372234
113	22439	371240
114	22570	369960
115	22708	368818
116	22855	367832
117	23013	367040
118	23172	366284
119	23330	365507
120	23503	364985
121	23669	364354
122	23820	363500
123	23949	362329
124	24094	361414
125	24252	360711
126	24395	359789
127	24552	359083
128	24699	358243
129	24844	357375
130	24984	356458
131	25116	355437
132	25264	354657
133	25404	353769
134	25567	353212
135	25727	352617
136	25897	352166
137	26051	351500
138	26200	350783
139	26326	349767
140	26450	348727
141	26585	347861
142	26702	346756
143	26823	345725
144	26956	344851
145	27079	343877
146	27209	342981
147	27341	342135
148	27458	341112
149	27600	340403
150	27742	339708
151	27857	338684
152	28005	338074
153	28128	337171
154	28244	336199
155	28387	335556
156	28558	335238
157	28677	334332
158	28813	333626
159	28948	332905
160	29084	332215
161	29219	331520
162	29343	330703
163	29470	329931
164	29586	329035
165	29704	328177
166	29826	327380
167	29962	326737
168	30101	326124
169	30227	325395
170	30356	324695
171	30490	324054
172	30612	323289
173	30737	322566
174	30864	321872
175	30978	321045
176	31110	320425
177	31264	320023
178	31396	319405
179	31534	318852
180	31687	318455
181	31826	317912
182	31954	317274
183	32093	316748
184	32245	316354
185	32377	315765
186	32533	315422
187	32676	314949
188	32817	314453
189	32974	314122
190	33112	313615
